filenames,max_err,max_temp,obs_int,observation,chs,ohs,ohs_int
Soteria-SCC-4630mAh-10SOC,42.12897491455078,25.53189,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
Soteria-SCC-5080mAh-20SOC,36.1711311340332,27.01856,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
Soteria-SCC-5170mAh-60SOC,39.44828796386719,25.74966,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
ChevyVolt-0SOC-6mm-cell1,1164.94921875,62.683819,-1,,,,-1
ChevyVolt-20SOC-6mm-cell1,1969.6343994140625,73.024703,-1,,,,-1
ChevyVolt-20SOC-6mm-cell2,2003.330078125,73.372904,-1,,,,-1
ChevyVolt-20SOC-6mm-cell3,2017.3082275390625,73.499213,-1,,,,-1
ChevyVolt-20SOC-6mm-cell4,837.3195190429688,57.656051,-1,,,,-1
ChevyVolt-40SOC-6mm-cell1,1738.2073974609375,70.254984,-1,,,,-1
ChevyVolt-40SOC-6mm-cell2,2246.94677734375,76.304536,-1,,,,-1
ChevyVolt-40SOC-6mm-cell3,2303.81787109375,76.727228,-1,,,,-1
ChevyVolt-40SOC-6mm-cell4,2399.440673828125,77.570382,-1,,,,-1
ChevyVolt-60SOC-6mm-cell2,526.576416015625,51.499188,-1,,,,-1
ChevyVolt-60SOC-6mm-cell3,1805.520263671875,71.294416,-1,,,,-1
ChevyVolt-60SOC-6mm-cell4,1704.9827880859375,69.966937,-1,,,,-1
2017ChevyVolt-60SOC-6mm-cell1,2770.87158203125,81.493954,-1,,,,-1
ChevyVolt-80SOC-6mm-cell1,3357.70166015625,86.876785,-1,,,,-1
ChevyVolt-80SOC-6mm-cell2,1548.614013671875,67.883551,-1,,,,-1
ChevyVolt-80SOC-6mm-cell3,2570.637451171875,79.419773,-1,,,,-1
ChevyVolt-80SOC-6mm-cell4,2531.40576171875,78.98257,-1,,,,-1
ChevyVolt-100SOC-6mm-cell1,1064.400146484375,61.230339,-1,,,,-1
ChevyVolt-100SOC-6mm-cell2,2319.56494140625,76.713497,-1,,,,-1
ChevyVolt-100SOC-6mm-cell3,2266.842529296875,76.294388,-1,,,,-1
ChevyVolt-100SOC-6mm-cell4,4826.31640625,98.290933,-1, ,,,-1
NisanLeaf_40SOC-6mm-cell3,1379.792724609375,65.982544,-1,,,,-1
NissanLeaf-20SOC-6mm-cell3,4086.64111328125,92.915739,-1,,,,-1
NissanLeaf-20SOC-6mm-cell1,806.0870361328125,57.1936,-1,,,,-1
Nissan_Leaf-60SOC-6mm-cell1,737.0182495117188,57.687007,-1,,,,-1
Nissan_Leaf-60SOC-6mm-cell3,1659.4736328125,69.407491,-1,,,,-1
NissanLeaf-60SOC-cell4,57638.9921875,284.219065,-1,,,,-1
Nissan_Leaf-60SOC-6mm-cell2,2561.625732421875,79.292599,-1,,,,-1
NisanLeaf_40SOC-6mm-cell4,4801.5966796875,97.89075,-1,,,,-1
NissanLeaf-20SOC-6mm-Cell4,3000.35791015625,83.291682,-1,,,,-1
LCO6400mAh-40SOC-cell1-Load-Voltage,3801.583251953125,90.46168,-1,,,,-1
LCO4000mAh-0SOC-cell1,3747.940673828125,94.85011,-1,,,,-1
LCO_4000mAh-0SOC_cell2_MAX,2597.38427734375,84.62286,-1,,,,-1
LCO_4Ah_10SOC_cell1_MAX,4861.51025390625,115.0,-1,,,,-1
LCO_4000mAh-10SOC_cell2_MAX,4335.9853515625,94.9655,-1,,,,-1
LCO_4Ah_20SOC_cell1_MAX,10960.6572265625,140.4285,-1,,,,-1
LCO_4Ah_20SOC_cell2_MAX,4189.29541015625,98.59586,-1,,,,-1
LCO_4Ah_30SOC_cell1_MAX,2941.712158203125,82.9502,-1,,,,-1
LCO_4Ah_30SOC_cell2_MAX,6983.5576171875,117.0084,-1,,,,-1
LCO_4000mAh-40SOC_cell1_MAX,13126.9970703125,150.2427,-1,,,,-1
LCO_4000mAh-40SOC_cell2_MAX,13045.705078125,147.0741,-1,,,,-1
LCO_4000mAh-50SOC_cell1_MAX,82526.75,325.287,-1,,,,-1
LCO_4000mAh-50SOC_cell2_MAX,70975.3046875,295.2504,-1,,,,-1
LCO_4Ah_60SOC_cell1_MAX,14852.2158203125,150.2427,-1,,,,-1
LCO_4Ah_60SOC_cell2_MAX,109688.4140625,360.1418,-1,,,,-1
LCO_4Ah_70SOC_cell1_MAX,110070.515625,360.1418,-1,,,,-1
LCO_4Ah_100SOC_cell1_MAX,110070.515625,360.1418,-1,,,,-1
LFP_15Ah_0SOC_MAX,464.29473876953125,50.24127,-1,,,,-1
LFP_15000mAh_10SOC_max,11477.212890625,136.3424,-1,,,,-1
LFP_15Ah_20SOC_cell1_MAX,12078.490234375,138.6407,-1,,,,-1
LFP_15Ah_40SOC_cell1_MAX,7503.43505859375,115.1266,-1,,,,-1
LFP_15Ah_40SOC_cell2_MAX,386.392822265625,48.13602,-1,,,,-1
LFP_15Ah_50SOC_cell1_MAX,4435.5537109375,95.10441,-1,,,,-1
LFP_15Ah_50SOC_cell2,1804.2203369140625,70.92691,-1,,,,-1
LFP_15Ah_60SOC_cell1_MAX,2335.158203125,78.70295,-1,,,,-1
LFP_15Ah_60SOC_cell2_MAX,6724.1904296875,110.4847,-1,,,,-1
LFP_15Ah_80SOC__cell1_MAX_2,2449.99853515625,78.31473,-1,,,,-1
LFP_15Ah_80SOC__cell2_MAX_2,1058.2183837890625,61.20633,-1,,,,-1
LFP_15Ah_100SOC_MAX,4708.4423828125,97.13324,-1,,,,-1
LFP_15Ah_100SOC_cell2_MAX,3469.721435546875,87.37398,-1,,,,-1
NMC_10000mAh-0SOC_cell1_MAX,16237.958984375,157.3971,-1,,,,-1
NMC_10000mAh-10SOC_cell1MAX,10488.873046875,131.8223,-1,,,,-1
NMC_10000mAh-20SOC_cell1_MAX,32.13290023803711,32.04392,-1,,,,-1
NMC_10000mAh-30SOC_cell1_MAX,14440.9765625,148.952,-1,,,,-1
NMC_10000mAh-40SOC_cell1_MAX,6451.46728515625,116.7789,-1,,,,-1
NMC_10000mAh-50SOC_cell1_MAX,4252.93359375,94.86927,-1,,,,-1
NMC_10000mAh-50SOC_cell2_MAX,3672.156982421875,93.09599,-1,,,,-1
NMC_10000mAh-60SOC_cell1_MAX,3594.30078125,93.00957,-1,,,,-1
NMC_10000mAh-70SOC_cell1_MAX,110070.515625,360.1418,-1,,,,-1
NMC_10000mAh-80SOC_cell1_MAX,9837.8017578125,133.6228,-1,,,,-1
NMC_10000mAh-90SOC_cell1_MAX,110070.515625,360.1418,-1,,,,-1
NMC_10000mAh-100SOC_cell1_MAX,110070.515625,360.1418,-1,,,,-1
NMC_10Ah_70SOC_cell2_MAX,228.4872283935547,73.0947,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_30SOC_b,419.13134765625,49.1,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_50SOC_a,36470.3359375,223.2,-1,,,,-1
SNL_LFP_Graphite_10Ah_50SOC_a,44.384769439697266,31.5044746398926,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_70SOC_b,21687.8046875,176.717498779297,-1,,,,-1
SNL_LFP_Graphite_10Ah_100SOC_b,36.42015075683594,29.5349197387695,-1,,,,-1
SNL_NMC_Graphite_10Ah_70SOC_a,66693.015625,286.8905334,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_30SOC_a,741.5938720703125,55.8,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_50SOC_b,53644.28125,263.4,-1,,,,-1
SNL_LFP_Graphite_10Ah_50SOC_b,89.03507232666016,37.8336219787598,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_70SOC_a,29460.087890625,201.06755065918,-1,,,,-1
SNL_LFP_Graphite_10Ah_100SOC_a,193.5332489013672,42.3288497924805,-1,,,,-1
SNL_NMC_Graphite_10Ah_70SOC_b,133777.953125,403.9214172,-1,,,,-1
SNL_NMC_Graphite_10Ah_0SOC_a,811.0269775390625,56.8718605041504,-1,,,,-1
SNL_NMC_Graphite_10Ah_100SOC_b,83522.8046875,317.8945923,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_50SOC_c,494.5069885253906,50.8,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_100SOC_a,42744.07421875,245.225234985352,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_50SOC_b,346.03753662109375,47.1,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_30SOC_a,31.05816078186035,28.3,-1,,,,-1
SNL_NMC_Graphite_10Ah_0SOC_b,119.12483978271484,31.30307388,-1,,,,-1
SNL_NMC_Graphite_10Ah_100SOC_a,108507.9765625,358.9332275,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_100SOC_b,58036.7890625,273.146881103516,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_50SOC_a,263.0013122558594,44.8,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_30SOC_b,25.73519515991211,28.5,-1,,,,-1
