22.75,22.75
22.749145508,22.723220825
22.747400284,22.711576462
22.744949341,22.703735352
22.741973877,22.697004318
22.738611221,22.690736771
22.734968185,22.684761047
22.731122971,22.679021835
22.727128983,22.67347908
22.72303009,22.668104172
22.718856812,22.662874222
22.714630127,22.657762527
22.710365295,22.652750015
22.706079483,22.647821426
22.701780319,22.642963409
22.716072083,23.244405746
22.767288208,24.106170654
22.849992752,24.528264999
22.954475403,24.833274841
23.072805405,25.097738266
23.199367523,25.340133667
23.330446243,25.56961441
23.463586807,25.785833359
23.597156525,25.989622116
23.730083466,26.182086945
23.861675262,26.364347458
23.991504669,26.537441254
24.119321823,26.702302933
24.244991302,26.859760284
24.368480682,27.011016846
24.489809036,27.156438828
24.609025955,27.296510696
24.726200104,27.431705475
24.841415405,27.562448502
24.95475769,27.689117432
25.066316605,27.812049866
25.176179886,27.931549072
25.284452438,28.048461914
25.391237259,28.16270256
25.4966259,28.27440834
25.600702286,28.383749008
25.703544617,28.490896225
25.805223465,28.596004486
25.90580368,28.699214935
26.005344391,28.80065918
26.103899002,28.900455475
26.20152092,28.99871254
26.29825592,29.095527649
26.394142151,29.190992355
26.489217758,29.285190582
26.583518982,29.378198624
26.677074432,29.470087051
26.769910812,29.560914993
26.86205864,29.650743484
26.953538895,29.739625931
27.044397354,29.828308105
27.13467598,29.916435242
27.224409103,30.003950119
27.313625336,30.090856552
27.402351379,30.177177429
27.490602493,30.262931824
27.578397751,30.348144531
27.665752411,30.432830811
27.752679825,30.517011642
27.839189529,30.600702286
27.925292969,30.683917999
28.01099968,30.766675949
28.096317291,30.848987579
28.181255341,30.930868149
28.265821457,31.012325287
28.350021362,31.093372345
28.433860779,31.174020767
28.517347336,31.25428009
28.600486755,31.334157944
28.683280945,31.413661957
28.765737534,31.492801666
28.847860336,31.571584702
28.929655075,31.650016785
29.011125565,31.728103638
29.09227562,31.80585289
29.173112869,31.883270264
29.253641129,31.960361481
29.333866119,32.037132263
29.413791656,32.113586426
29.493421555,32.189731598
29.572759628,32.265571594
29.651807785,32.341110229
29.730585098,32.416713715
29.809101105,32.492179871
29.887367249,32.567459106
29.965393066,32.642543793
30.04318428,32.7174263
30.120742798,32.792106628
30.198074341,32.866580963
30.275178909,32.940849304
30.352062225,33.014915466
30.428722382,33.08877182
30.505163193,33.162425995
30.581384659,33.235870361
30.65738678,33.309108734
30.73317337,33.382141113
30.808742523,33.454967499
30.884098053,33.527587891
30.959236145,33.600002289
31.034162521,33.672214508
31.108875275,33.744216919
31.183376312,33.816017151
31.257665634,33.887615204
31.331745148,33.959011078
31.405612946,34.030200958
31.479272842,34.10118866
31.552722931,34.171977997
31.625967026,34.242565155
31.699001312,34.312953949
31.771831512,34.383140564
31.844453812,34.453128815
31.916873932,34.522918701
31.989086151,34.592514038
32.061096191,34.661907196
32.132904053,34.731109619
32.204509735,34.800113678
32.275913239,34.868919373
32.347114563,34.937534332
32.418117523,35.005950928
32.488918304,35.074176788
32.559520721,35.142204285
32.629924774,35.210041046
32.700130463,35.277687073
32.770137787,35.345142365
32.839946747,35.412403107
32.909557343,35.479476929
32.978965759,35.546360016
33.048175812,35.613052368
33.1171875,35.679553986
33.185997009,35.745868683
33.254608154,35.811992645
33.32301712,35.877925873
33.391227722,35.94367218
33.459236145,36.009227753
33.527046204,36.074596405
33.594657898,36.139774323
33.662067413,36.204761505
33.729278564,36.269565582
33.796295166,36.33417511
33.863109589,36.398597717
33.929729462,36.462833405
33.99615097,36.526882172
34.062374115,36.590744019
34.12840271,36.654415131
34.194232941,36.717903137
34.259872437,36.781200409
34.325313568,36.844314575
34.390563965,36.907245636
34.455619812,36.969985962
34.52048111,37.032546997
34.585151672,37.094921112
34.6496315,37.157108307
34.713916779,37.219116211
34.778011322,37.28094101
34.841918945,37.342582703
34.905635834,37.40404129
34.969161987,37.465316772
35.032501221,37.526412964
35.095649719,37.587329865
35.158615112,37.648067474
35.221389771,37.708625793
35.283981323,37.769004822
35.346385956,37.829204559
35.408603668,37.889225006
35.470638275,37.949069977
35.532493591,38.008739471
35.594169617,38.068229675
35.655670166,38.127548218
35.716995239,38.186656952
35.778152466,38.245574951
35.839138031,38.304317474
35.89995575,38.362880707
35.960609436,38.421268463
36.021099091,38.479484558
36.081428528,38.537532806
36.141597748,38.595417023
36.201610565,38.653133392
36.261463165,38.710689545
36.321163177,38.76808548
36.380710602,38.825321198
36.440101624,38.882404327
36.499343872,38.939331055
36.558433533,38.996105194
36.61737442,39.052726746
36.676166534,39.109203339
36.734809875,39.165527344
36.793308258,39.22170639
36.851657867,39.277736664
36.909862518,39.333625793
36.967926025,39.389369965
37.025840759,39.444972992
37.083614349,39.500434875
37.141246796,39.555755615
37.198738098,39.610939026
37.256088257,39.665981293
37.313297272,39.72088623
37.370365143,39.775653839
37.427295685,39.830287933
37.484085083,39.884784698
37.540740967,39.939147949
37.597259521,39.993377686
37.653648376,40.047477722
37.709907532,40.101444244
37.766036987,40.155281067
37.822044373,40.20898819
37.877925873,40.262573242
37.933685303,40.316028595
37.989322662,40.369361877
38.044845581,40.42257309
38.100246429,40.475666046
38.155532837,40.528636932
38.210700989,40.581489563
38.265758514,40.634227753
38.320697784,40.686847687
38.375526428,40.739356995
38.430244446,40.791751862
38.484848022,40.844036102
38.539340973,40.896205902
38.593727112,40.94826889
38.64799881,41.000225067
38.702167511,41.052070618
38.756221771,41.103809357
38.810173035,41.155441284
38.864013672,41.2069664
38.917751312,41.258388519
38.971378326,41.309703827
39.024902344,41.360919952
39.078323364,41.412029266
